[FCT]
2
[IMOD]
1
[Nexp Nvent Nvsai]
50 1 1
[T	P]
273.16	611.657	3.7412428565
273.15	611.15	3.7412428565
272.15	562.67	3.7412428565
271.15	517.72	3.7412428565
270.15	476.06	3.7412428565
269.15	437.47	3.7412428565
268.15	401.76	3.7412428565
267.15	368.73	3.7412428565
266.15	338.19	3.7412428565
265.15	309.98	3.7412428565
264.15	283.94	3.7412428565
263.15	259.9	3.7412428565
262.15	237.74	3.7412428565
261.15	217.32	3.7412428565
260.15	198.52	3.7412428565
259.15	181.22	3.7412428565
258.15	165.3	3.7412428565
257.15	150.68	3.7412428565
256.15	137.25	3.7412428565
255.15	124.92	3.7412428565
254.15	113.62	3.7412428565
253.15	103.26	3.7412428565
252.15	93.77	3.7412428565
251.15	85.1	3.7412428565
250.15	77.16	3.7412428565
249.15	69.91	3.7412428565
248.15	63.29	3.7412428565
247.15	57.25	3.7412428565
246.15	51.74	3.7412428565
245.15	46.73	3.7412428565
244.15	42.16	3.7412428565
243.15	38.01	3.7412428565
242.15	34.24	3.7412428565
241.15	30.82	3.7412428565
240.15	27.71	3.7412428565
239.15	24.9	3.7412428565
238.15	22.35	3.7412428565
237.15	20.04	3.7412428565
236.15	17.96	3.7412428565
235.15	16.07	3.7412428565
234.15	14.37	3.7412428565
233.15	12.84	3.7412428565
228.15	7.202	3.7412428565
223.15	3.936	3.7412428565
218.15	2.093	3.7412428565
213.15	1.08	3.7412428565
208.15	0.54	3.7412428565
203.15	0.261	3.7412428565
198.15	0.122	3.7412428565
193.15	0.055	3.7412428565


